"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper","fold_enrichment_final","term_name_final","padj_final","neglog10_padj","dataset"
"GO:0042088","T-helper 1 type immune response",0.00438529486038262,47,1.756413856621,0.000242322922476557,0.0011590098372522,137775,5,45,1.19943676395289,0.405580571898115,0.99014824570132,1.756413856621,"T-helper 1 type immune response",0.0011590098372522,2.93591287788781,"human_specific"
"GO:0070723","response to cholesterol",0.00260542834041885,32,2.01279081599674,0.000242812916168561,0.00116018741771705,357132,2,22,0.981357352325094,0.617778088654655,0.99014824570132,2.01279081599674,"response to cholesterol",0.00116018741771705,2.93547184878541,"human_specific"
"GO:0060078","regulation of postsynaptic membrane potential",0.0186701844881962,153,1.34298331805648,0.000246189699684175,0.00117514220741925,235884,13,98,1.43198062635192,0.1185135919894,0.934967825305045,1.34298331805648,"regulation of postsynaptic membrane potential",0.00117514220741925,2.92990957495783,"human_specific"
"GO:0046640","regulation of alpha-beta T cell proliferation",0.0035428070298029,40,1.85029208168037,0.000248148621389317,0.00118330590099375,305970,4,28,1.54213298222515,0.257944618900942,0.99014824570132,1.85029208168037,"regulation of alpha-beta T cell proliferation",0.00118330590099375,2.92690296970835,"human_specific"
"GO:0051491","positive regulation of filopodium assembly",0.00476259572975103,50,1.72049764617239,0.000250901888640493,0.00119523732536547,174800,2,24,0.89957757296467,0.66558049592999,0.99950884189564,1.72049764617239,"positive regulation of filopodium assembly",0.00119523732536547,2.92254585298923,"human_specific"
"GO:0001881","receptor recycling",0.00378794505095831,42,1.81707735758543,0.000255557066444545,0.00121619607920959,367089,4,36,1.19943676395289,0.430941946685356,0.99014824570132,1.81707735758543,"receptor recycling",0.00121619607920959,2.91499640100589,"human_specific"
"GO:0002830","positive regulation of type 2 immune response",0.00172986444519449,24,2.27366756246459,0.000257538671225486,0.00122440213422786,531349,3,14,2.31319947333772,0.133791361427345,0.934967825305045,2.27366756246459,"positive regulation of type 2 immune response",0.00122440213422786,2.91207592206509,"human_specific"
"GO:0071901","negative regulation of protein serine/threonine kinase activity",0.00238803332165032,30,2.05877397147321,0.000257875492395241,0.00122477990849197,78001,4,26,1.66075859624247,0.216559609191905,0.99014824570132,2.05877397147321,"negative regulation of protein serine/threonine kinase activity",0.00122477990849197,2.91194194649549,"human_specific"
"GO:0046475","glycerophospholipid catabolic process",0.00152028707781361,22,2.37150952567212,0.000259759147418427,0.00123249629368324,101367,4,20,2.15898617511521,0.107593680749686,0.934967825305045,2.37150952567212,"glycerophospholipid catabolic process",0.00123249629368324,2.90921437804289,"human_specific"
"GO:1905244","regulation of modification of synaptic structure",0.0019491545430021,26,2.18602372064616,0.000265564517767875,0.0012587863944794,165000,1,13,0.830379298121234,0.717568319586871,0.99950884189564,2.18602372064616,"regulation of modification of synaptic structure",0.0012587863944794,2.90004795978047,"human_specific"
